source,sentence,cause_start,cause_end,effect_start,effect_end
MedCaus," Its advantage over ivermectin is its longer half life in humans and , thus , potential duration of action . ''",1.0,57.0,76.0,99.0
MedCaus," In the latter , the individual has a problem with object constancy and sees others as all good or all bad , thus bolstering idealization and devaluation . ''",15.0,102.0,109.0,141.0
MedCaus," For this crime , Apollo was then forced into the servitude of Admetus for one year . ''",1.0,9.0,16.0,78.0
MedCaus," If one family member has a history of addiction , the chances of a relative or close family developing those same habits are much higher than one who has not been introduced to addiction at a young age . ''",1.0,38.0,49.0,198.0
MedCaus," In December 1966 , the Berkeley group repeated the Dubna experiments and fully confirmed them , and used this data to finally assign correctly the isotopes they had previously synthesized but could not yet identify at the time , and thus claimed to have discovered nobelium in 1958 to 1961 .",1.0,227.0,239.0,290.0
MedCaus, This technique was developed to enable greater resolution in electron microscopy than is possible using conventional imaging techniques .,1.0,29.0,33.0,136.0
MedCaus," In the developed world today , candles are used mainly for their aesthetic value and delicious scent , particularly to set a soft , warm , or romantic ambiance , for emergency lighting during electrical power failures , and for religious or ritual purposes . ''",219.0,248.0,30.0,48.0
MedCaus," An example is HIV , which mutates rapidly , so the proteins on its viral envelope that are essential for entry into its host target cell are constantly changing . ''",12.0,42.0,45.0,152.0
MedCaus," The dipole prevents Teflon from being susceptible to Van der Waals forces , so other materials will not stick to the surface .",1.0,74.0,80.0,125.0
MedCaus," In response to the administration 's family separation policy , Harris visited one of the detention facilities near the border in June 2018 .",16.0,62.0,65.0,140.0
MedCaus," Adhesions here must be divided to separate the greater omentum off the transverse mesocolon , thus allowing access to the lesser sac proper .",1.0,92.0,100.0,140.0
MedCaus," Dormant spores are formed , for example by certain fungi and algae , primarily in response to unfavorable growing conditions .",95.0,125.0,1.0,26.0
MedCaus," His model was not immediately accepted , but it was seen to be the more plausible , as medical microbiology developed over the next 30 years or so .",88.0,147.0,1.0,82.0
MedCaus," Adjuvants commonly are used to boost immune response , particularly for older people -LRB- 50 ` Äì75 years and up -RRB- , whose immune response to a simple vaccine may have weakened . ''",11.0,23.0,24.0,44.0
MedCaus," Descartes ' work provided the basis for the calculus developed by Newton and Leibniz , who applied infinitesimal calculus to the tangent line problem , thus permitting the evolution of that branch of modern mathematics . ''",1.0,12.0,153.0,207.0
MedCaus," Molecular phylogenetic work continues , further clarifying which Bivalvia are most closely related and thus refining the classification . ''",39.0,99.0,104.0,121.0
MedCaus," Pharotaxis is the movement to a specific location in response to learned or conditioned stimuli , or navigation by means of landmarks . ''",63.0,124.0,1.0,41.0
MedCaus," It enhances processing of sensory inputs , enhances attention , enhances formation and retrieval of both long term and working memory , and enhances the ability of the brain to respond to inputs by changing the activity pattern in the prefrontal cortex and other areas . ''",196.0,263.0,1.0,188.0
MedCaus," The Convention on the Rights of the Child in its Article 19 states that States Parties shall take all appropriate legislative , administrative , social and educational measures to protect the child from all forms of physical or mental violence , injury or abuse , neglect or negligent treatment , maltreatment or exploitation , including sexual abuse , while in the care of parent -LRB- s -RRB- , legal guardian -LRB- s -RRB- or any other person who has the care of the child . ''",144.0,168.0,421.0,470.0
MedCaus," The proportion of single star systems increases with decreasing star mass , so that only 25 % of red dwarfs are known to have stellar companions . ''",1.0,69.0,80.0,134.0
MedCaus," Individuals with right atrial isomerism develop 2 sinoatrial nodes , as they have 2 mirrored right atria , whereas those with left atrial isomerism fail to develop a sinus node at all . ''",70.0,99.0,1.0,61.0
MedCaus," The slow progression of AD fits with the chronic nature of some systemic fungal infections , which can be asymptomatic and thus , unnoticed and untreated . ''",92.0,119.0,129.0,144.0
MedCaus," This earned him the enmity of the wealthy Greeks who had endowed the chair , and in 1924 he was forced to resign the position . ''",1.0,0.0,1.0,42.0
MedCaus," It is thus important to investigate all cases of macrocephaly of unknown origins for GCDH deficiency , given the importance of the early diagnosis of GA1 . ''",102.0,150.0,7.0,90.0
MedCaus," This was launched with the authorization of the States General of the Netherlands in 1621 , in response to the ending of the Twelve Years ' Truce -LRB- 1609 ` Äì21 -RRB- between the Dutch Republic and Spain . ''",158.0,188.0,1.0,85.0
MedCaus," With advances in micromachinery and easy - to - use microcontroller platforms , the uses of sensors have expanded beyond the traditional fields of temperature , pressure or flow measurement , for example into MARG sensors . ''",1.0,68.0,79.0,178.0
MedCaus," In contrast , autoimmunity is an immune response to the self 's own antigens . ''",50.0,68.0,13.0,33.0
MedCaus," For instance , men and women alike are capable of classifying sex acts as sexual no matter if they find them appealing or not , making a genital response to unappealing erotic stimuli a single mechanism step . ''",14.0,122.0,127.0,203.0
MedCaus," The criminological theory of relative deprivation explains that people who feel jealous and discontent , therefore might turn to crime to get the things that they ca n't afford but others have . ''",60.0,92.0,106.0,188.0
MedCaus," This reduces the amount of skin exposed to the air or a dry surface , and thus reduces water loss .",1.0,68.0,80.0,98.0
MedCaus," Nevertheless , phages of Inoviridae have been shown to complicate biofilms involved in pneumonia and cystic fibrosis and shelter the bacteria from drugs meant to eradicate disease , thus promote persistent infection . ''",14.0,172.0,183.0,206.0
MedCaus," The term was coined by Karen L. Fingerman and further developed by Melinda Blau , who collaborated with the psychologist to explore and popularize the concept . ''",122.0,151.0,81.0,108.0
MedCaus," They are external to his senses , and according to Descartes , this is evidence of the existence of something outside of his mind , and thus , an external world . ''",62.0,125.0,142.0,155.0
MedCaus," With involvement by foreign troops , the war ended in a stalemate in 1953 , but without a formalized peace treaty .",6.0,35.0,38.0,74.0
MedCaus, With this transition certain social interactions with friend and family may be limited forcing the individual to look else where for these social interactions .,1.0,87.0,114.0,159.0
MedCaus, This damage response involves the proteolysis of type XVII collagen by neutrophil elastase in response to the DNA damage in the hair follicle stem cells .,107.0,153.0,1.0,94.0
MedCaus," Affects high in motivational intensity , thus , narrow cognitive scope making people able to focus more on central information .",1.0,39.0,49.0,127.0
MedCaus," If the sheet were to break down , ocean levels would rise by several metres in a relatively geologically short period of time , perhaps a matter of centuries . ''",1.0,27.0,33.0,121.0
MedCaus," The Bema was celebrated at the vernal equinox , was preceded by fasts , and symbolized the passion of Mani , thus it was strictly parallel to the Christian Easter . ''",1.0,102.0,110.0,156.0
MedCaus," Phosphorylated CREB translocates into the nucleus and mediates increased expression of anti - apoptotic proteins , thus promoting NGF - mediated cell survival . ''",1.0,104.0,116.0,150.0
MedCaus, Cork it tightly so that the activity is not dissipated .,1.0,16.0,25.0,55.0
MedCaus, The conflict is only ended when Tassadar demonstrates the effectiveness of the dark templar against the Zerg .,33.0,109.0,1.0,27.0
MedCaus," However , after the war he changed to a pro - Turkish position , accusing Greece 's military government in occupied Turkish territory of atrocities and massacres . ''",9.0,54.0,64.0,152.0
MedCaus," Centuries of constant warfare on the Armenian Plateau forced many Armenians , including those in the Karabakh region , to emigrate and settle elsewhere . ''",77.0,110.0,120.0,142.0
MedCaus," Over a long period of lithium treatment , cyclic AMP and adenylate cyclase levels are further changed by gene transcription factors . ''",103.0,124.0,41.0,102.0
MedCaus, Van Zoelen wanted to sell to Philips so that HDD would have sufficient financial backing when their major competitors returned after the war .,1.0,37.0,46.0,141.0
MedCaus," As it is an intrinsic property of the nervous system , it can not be changed through voluntary control , exercise , or diet . ''",1.0,46.0,115.0,119.0
MedCaus," The ancient Greek physician Galen -LRB- prominent among the Romans -RRB- mentioned asparagus as a beneficial herb during the second century AD , but after the Roman empire ended , asparagus drew little medieval attention .",156.0,178.0,181.0,221.0
MedCaus," It induces directed polymerization of actin by the ActA transmembrane protein , thus pushing the bacterial cell around . ''",1.0,70.0,81.0,112.0
MedCaus, TNS forms covalent bonds with chymotrypsinogen and as the bonds break to from chymotrypsin in the presence of trypsin the fluorescence increases .,55.0,118.0,119.0,145.0
MedCaus," He could moreover prove that such a wave would necessarily travel at the speed of light , and thus light itself was a form of electromagnetic radiation . ''",25.0,82.0,95.0,142.0
MedCaus," Most dentists therefore prefer to keep dental treatment in people with bruxism very simple and only carry it out when essential , since any dental work is likely to fail in the long term . ''",129.0,182.0,15.0,118.0
MedCaus," Degrees of internal intussusception have been demonstrated in 40 % of asymptomatic subjects , raising the possibility that it represents a normal variant in some , and may predispose patients to develop symptoms , or exacerbate other problems . ''",93.0,183.0,193.0,203.0
MedCaus," The supplies tend to be expensive , since the sensors must be changed at least weekly . ''",1.0,24.0,37.0,79.0
MedCaus," Instead , detailed photos and measurements are taken of the animal so a taxidermist can create an exact replica in resin or fiberglass that can be displayed in place of the real animal . ''",9.0,60.0,68.0,178.0
MedCaus," Though a judge halted Litten 's questioning , thus saving Hitler from further damning exposure , newspapers at the time reported on the trial in detail and Hitler was investigated for perjury that summer . ''",1.0,32.0,47.0,86.0
MedCaus," The technique of discus throwing is quite difficult to master and needs lots of experience to get right , thus most top throwers are 30 years old or more . ''",1.0,98.0,107.0,149.0
MedCaus," There are strict regulations on aircraft emissions of pollutants like carbon dioxide and nitrogen oxides , so combustors need to be designed to minimize those emissions . ''",1.0,98.0,108.0,159.0
MedCaus, Oxygen as a byproduct is of no further use to the reaction and thus released into the atmosphere .,1.0,59.0,69.0,97.0
MedCaus," This changes the surface chemistry and therefore surface energy of the material which affects the adhesion , biocompatibility , chemical inertness , lubricity , and sterilization of the material .",1.0,35.0,50.0,80.0
MedCaus," By moving the eye so that small parts of a scene can be sensed with greater resolution , body resources can be used more efficiently . ''",1.0,76.0,88.0,121.0
MedCaus," For instance , infection of Pseudomonas aeruginosa by the temperate phage PaP3 changed the expression of 38 % -LRB- 2160/5633 -RRB- of its host 's genes . ''",14.0,74.0,75.0,147.0
MedCaus," While the stimulating effects may last for hours , the euphoric sensation is very brief , prompting the user to smoke more immediately . ''",50.0,82.0,89.0,104.0
MedCaus," Between 1998 and 2001 , the city 's financial services sector grew at a rate of 30 % , making considerable gains on Edinburgh , which has historically been the centre of the Scottish financial sector .",25.0,85.0,95.0,126.0
MedCaus, Birth control also improves child survival in the developing world by lengthening the time between pregnancies .,1.0,67.0,71.0,111.0
MedCaus," In the 1970s , considerable effort was put towards the developing field of euphenics since it was seen as a positive form of genetic engineering . ''",86.0,133.0,14.0,75.0
MedCaus, The ability of some bivalves to burrow and thus avoid predators may have been a major factor in their success .,1.0,39.0,49.0,110.0
MedCaus," These booths render a 3-D model of the user , allowing the consumers to view different outfits on themselves without the need of physically changing clothes . ''",1.0,39.0,45.0,149.0
MedCaus," For example , during periods of exertion the body rapidly breaks down stored carbohydrates and fat , releasing CO2 into the blood stream . ''",13.0,95.0,100.0,130.0
MedCaus, Shields are also sometimes mounted on vehicle - mounted weapons to protect the operator .,68.0,88.0,1.0,64.0
MedCaus," Work on '' '' Skilled Memory and Expertise '' '' by Anders Ericsson and James J. Staszewski confronts the paradox of expertise and claims that people not only acquire content knowledge as they practice cognitive skills , they also develop mechanisms that enable them to use a large and familiar knowledge base efficiently . ''",168.0,193.0,144.0,159.0
MedCaus," When using drip lines , the leaching is best done regularly at certain intervals -LRB- with only a slight excess of water -RRB- , so that the salt is flushed back under the plant 's roots . ''",23.0,71.0,134.0,182.0
MedCaus, Other effects of alcohol on antibiotic activity include altered activity of the liver enzymes that break down the antibiotic compound .,18.0,48.0,57.0,134.0
MedCaus," In response to an EDF suit , the U.S. District Court of Appeals in 1971 ordered the EPA to begin the de - registration procedure for DDT .",16.0,27.0,30.0,137.0
MedCaus," However , this method which kept music away from polyphony , along with centuries of continuous culture , enabled monophonic music to develop to the greatest heights of perfection .",11.0,59.0,115.0,180.0
MedCaus," Nevertheless , Newton managed to avoid it by means of a special permission from Charles II .",55.0,91.0,16.0,42.0
MedCaus," The periosteal cells proximal to -LRB- on the near side of -RRB- the fracture gap develop into chondroblasts , which form hyaline cartilage . ''",1.0,95.0,112.0,130.0
MedCaus, Retinoids can act on retinoid nuclear receptors and thus regulate transcription .,1.0,48.0,58.0,80.0
MedCaus," Contamination layers are usually limited to a monolayer or less of atoms and are thus only detectable by surface analysis techniques , such as XPS .",1.0,73.0,87.0,147.0
MedCaus," The development of the chemistry of alkaloids was accelerated by the emergence of spectroscopic and chromatographic methods in the 20th century , so that by 2008 more than 12,000 alkaloids had been identified .",1.0,144.0,155.0,209.0
MedCaus," Vitamin C aids in the body 's ability to absorb iron , so taking oral iron supplements with orange juice is of benefit . ''",1.0,48.0,56.0,111.0
MedCaus, Borges uses the recurring image of '' '' a labyrinth that folds back upon itself in infinite regression '' '' so we '' '' become aware of all the possible choices we might make . '' '' '',36.0,84.0,111.0,155.0
MedCaus," This may also have a role in rheumatoid - arthritis pain ; cell potassium is always low in RA.Ascorbic acid presence , particularly in high doses has also been shown to mediate response to psychological stress and speed the decrease of the levels of circulating cortisol in the body post stress . ''",1.0,0.0,41.0,52.0
MedCaus," To explain why these stars exerted no net gravitational pull on the Solar System , Isaac Newton suggested that the stars were equally distributed in every direction , an idea prompted by the theologian Richard Bentley . ''",82.0,155.0,1.0,74.0
MedCaus," However , in response to the growing number of Wiccan temples and churches , several denominations of the religion have begun to develop a core group of ordained priestesses and priests serving a larger laity . ''",23.0,66.0,76.0,203.0
MedCaus," When women were given the forced - choice design in the study , they chose funny men as potential relationship partners even though they rated them as being less honest and intelligent . ''",1.0,56.0,63.0,173.0
MedCaus," The cleaved SNAP-25 is unable to mediate fusion of vesicles with the host cell membrane , thus preventing the release of the neurotransmitter acetylcholine from axon endings . ''",1.0,79.0,91.0,166.0
MedCaus," However , most retirement calculators use nominal -LRB- not '' '' real '' '' dollars -RRB- and therefore require a projection of both the expected inflation rate and the expected nominal rate of return . ''",9.0,74.0,86.0,187.0
MedCaus, Mastic varnish was used to protect and preserve photographic negatives .,1.0,24.0,28.0,71.0
MedCaus, Moose are thus attracted to marshes and river banks during warmer months as both provide suitable vegetation to eat and water to wet themselves in .,77.0,147.0,1.0,73.0
MedCaus," are less certain of their status , they are less willing to end the game . ''",1.0,26.0,34.0,68.0
MedCaus," Occasionally , a timpanist is forced to place a drum behind other items , so he can not reach it with his foot . ''",14.0,66.0,75.0,106.0
MedCaus, Several schemes and ideas have been developed to reduce the number of NEETs .,1.0,46.0,50.0,76.0
MedCaus, The cars would allow for rapid X - ray imaging of wounded soldiers so battlefield surgeons could quickly and more accurately operate .,36.0,67.0,71.0,133.0
MedCaus," If one has friends or peers who engage in drug use favorably , the chances of them developing an addiction increases . ''",20.0,51.0,62.0,107.0
MedCaus," UVA-1 , a more specific wavelength of UVA light , is able to penetrate the deeper portions of the skin and thus , thought to soften the plaques in morphea by acting in two fashions : -LSB- 1 -RSB- ''",49.0,103.0,113.0,172.0
MedCaus," A thiazide diuretic , such as chlorthalidone or hydrochlorothiazide , can be used to create mild hypovolemia which encourages salt and water uptake in proximal tubule and thus improve nephrogenic diabetes insipidus .",93.0,167.0,177.0,215.0
MedCaus," Some suggest that in children , bruxism may occasionally represent a response to earache or teething . ''",31.0,32.0,58.0,92.0
MedCaus," Study skins are dried in these positions to keep the end product as slender and streamlined as possible so large numbers of specimens can be stored side - by - side in flat file drawers , while occupying a minimum amount of space . ''",1.0,95.0,187.0,224.0
MedCaus," Simple filters made of darkened glass allow the full intensity of sunlight to pass through if they break , endangering the observer 's eyesight . ''",92.0,99.0,106.0,135.0
MedCaus," Accordingly , he could maintain actio vectigalis in rem against any one to recover possession of the land thus leased to him . ''",13.0,101.0,107.0,121.0
MedCaus," damage to DNA , and damage to tissues and cells by oxygen radicals -LRB- widely known as free radicals -RRB- , and some of this damage is not repaired and thus accumulates with time . ''",112.0,142.0,156.0,177.0
MedCaus," Pacik expanded the Lamont classification to include a fifth degree in which the patient experiences a visceral reaction such as sweating , hyperventilation , palpitations , trembling , shaking , nausea , vomiting , losing consciousness , wanting to jump off the table , or attacking the doctor . ''",1.0,26.0,42.0,287.0
MedCaus, Rumination is another possible response to threatening social information .,44.0,74.0,1.0,11.0
MedCaus," Today , inositol nitrate is used to gelatinize nitrocellulose , thus can be found in many modern explosives and solid rocket propellants . ''",7.0,47.0,65.0,125.0
MedCaus," If the cell tries to replicate crosslinked DNA during cell division , or tries to repair it , the DNA strands can break .",4.0,92.0,95.0,120.0
MedCaus, Secretion is regulated in this fashion so that proteins are not expelled into the extracellular matrix and elicit an immune response .,1.0,39.0,48.0,133.0
MedCaus, that serves to protect the brain from infection can become compromised allowing entry to pathogens .,1.0,71.0,81.0,99.0
MedCaus," an increase of protein -LRB- mRNA -RRB- stability , prolonging its existence and thus its activity in the cell ''",51.0,67.0,82.0,106.0
MedCaus, This will increase lithium reabsorption and its concentrations in the body .,1.0,5.0,20.0,75.0
MedCaus," The mastic villages are fortress - like , out of sight from the sea , surrounded by high walls and with no doors at street level -LRB- meaning that the villages were entered only by ladders -RRB- , in order to protect the sap from invaders .",1.0,196.0,211.0,240.0
MedCaus," Some schools of thought argue that speculators increase the liquidity in a market , and therefore promote an efficient market . ''",31.0,75.0,83.0,119.0
MedCaus," In these taxa , the oval head of the radius lies in front of the ulnar shaft so that the former overlaps the latter by half its width . ''",15.0,71.0,81.0,128.0
MedCaus, Kinesis -LRB- biology -RRB- is an animal 's non - directional movement activity in response to a stimulus .,96.0,106.0,51.0,80.0
MedCaus," By contrast , more sophisticated forms of humour such as satire require an understanding of its social meaning and context , and thus tend to appeal to a more mature audience . ''",13.0,115.0,130.0,166.0
MedCaus," A promising approach for ricin is to use the non - toxic B subunit -LRB- a lectin -RRB- as a vehicle for delivering antigens into cells , thus greatly increasing their immunogenicity .",38.0,136.0,144.0,183.0
MedCaus," In order to protect the developing science of modern chemistry from the negative censure of which alchemy was being subjected , academic writers during the scientific Enlightenment attempted , for the sake of survival , to divorce and separate the '' '' new '' '' chemistry from the '' '' old '' '' practices of alchemy . ''",284.0,293.0,10.0,116.0
MedCaus," The core is therefore shrinking , allowing the outer layers of the Sun to move closer to the centre and experience a stronger gravitational force , according to the inverse - square law . ''",13.0,22.0,33.0,140.0
MedCaus," Alloimmunity -LRB- sometimes called isoimmunity -RRB- is an immune response to nonself antigens from members of the same species , which are called alloantigens or isoantigens . ''",77.0,121.0,49.0,60.0
MedCaus," The dopamine transporter can no longer perform its reuptake function , and thus dopamine accumulates in the synaptic cleft . ''",1.0,60.0,76.0,117.0
MedCaus," When the Web developed in the 1990s , a typical web page was stored in completed form on a web server , formatted in HTML , complete for transmission to a web browser in response to a request .",183.0,192.0,138.0,167.0
MedCaus, The isomerase opens the ring : its His388 residue protonates the oxygen on the glucose ring -LRB- and thereby breaking the O5-C1 bond -RRB- in conjunction with Lys518 deprotonating the C1 hydroxyl oxygen .,32.0,92.0,111.0,204.0
MedCaus, These two impurities are thus removed by running an electromagnet over the mixture .,39.0,83.0,31.0,38.0
MedCaus," These balances are mostly genetically determined , but can be changed by body build , medications , food choices , and other factors .",74.0,133.0,52.0,70.0
MedCaus, Alkylating agents will work at any point in the cell cycle and thus are known as cell cycle - independent drugs .,1.0,59.0,69.0,112.0
MedCaus, Mattel lost the lawsuit and was forced to pay Forsythe 's legal costs .,1.0,24.0,29.0,70.0
MedCaus, The small board has a shirt pin on its back so it can be worn as a name badge .,48.0,78.0,1.0,44.0
MedCaus, This included limbs on the same side of the body thus including hemiplegia .,1.0,49.0,55.0,75.0
MedCaus," Ulrezaj traces Ramsey to Ehlna , breaking through the defenses of both the Protoss and the Dominion . ''",32.0,91.0,1.0,25.0
MedCaus," The producer may independently develop the '' '' concept '' '' or vision for a project or album , or develop the vision in collaboration with the artists and performers . ''",1.0,4.0,97.0,146.0
MedCaus," Fabric softeners impart antistatic properties to fabrics , and thus prevent the build - up of electrostatic charges on synthetic fibers , which in turn eliminates fabric cling during handling and wearing , crackling noises , and dust attraction . ''",1.0,49.0,224.0,234.0
MedCaus," In this scenario dissolved cocaine is soaked into a ball of cotton wool , which is placed in the nostril for the 10 ` Äì15 minutes immediately before the procedure , thus performing the dual role of both numbing the area to be cauterized , and vasoconstriction . ''",9.0,143.0,155.0,238.0
MedCaus," For example , chemotaxis in response to a sugar gradient has been observed in motile bacteria such as E. coli . ''",38.0,105.0,13.0,14.0
MedCaus," The plate was then coated with shellac to protect the moisture - vulnerable grains and dyes from the water - based gelatin emulsion , which was coated onto the plate after the shellac had dried . ''",108.0,123.0,1.0,31.0
MedCaus," Convincing the possessed Khalai to sever their cords and break away from the Khala , their action sends Amon 's essence into the artifact , which then implodes , banishing his essence into the Void . ''",84.0,151.0,161.0,193.0
MedCaus," Maggie asks Paul to help understand her creature , as it seemingly refuses to bond with Maggie . ''",52.0,88.0,1.0,40.0
MedCaus," Louder signals create a greater ' push ' on the Basilar membrane and thus stimulate more nerves , creating a stronger loudness signal .",1.0,65.0,75.0,134.0
MedCaus," In the balanced action system , a spring or hydraulic cylinder is used to balance the tension on the head so the pedal will stay in position and the head will stay at pitch . ''",1.0,101.0,107.0,167.0
MedCaus," Corruption , coupled with Trikoupis ' increased spending to fund infrastructure projects like the Corinth Canal , overtaxed the weak Greek economy and forced the declaration of public insolvency in 1893 .",1.0,36.0,49.0,203.0
MedCaus," The court said that if France did not adjust its agricultural and urbanization policies sufficiently to protect it , the government would be subject to fines of up to $ 24.6 million . ''",21.0,112.0,116.0,174.0
MedCaus," The hepatic artery also has both alpha - and beta - adrenergic receptors ; therefore , flow through the artery is controlled , in part , by the splanchnic nerves of the autonomic nervous system .",1.0,63.0,86.0,114.0
MedCaus," The terms '' '' intermediate '' '' , '' '' ipsilateral '' '' , '' '' contralateral '' '' , '' '' superficial '' '' , and '' '' deep '' '' , while indicating directions , are relative terms and thus do not properly define fixed anatomical axes . ''",118.0,127.0,136.0,174.0
MedCaus," In a cohort study of previously treated patients , ibrutinib induced responses in 91 % of patients , and at 2 years 69 % of patients had no progression of disease and 95 % were alive . ''",50.0,51.0,80.0,177.0
MedCaus," By the 920s , the situation had changed further , as North Africa was lost to the Abbasids .",54.0,91.0,1.0,48.0
MedCaus, Much of it goes into the bile and thus out into the small intestine .,1.0,30.0,40.0,68.0
MedCaus," An envelopment will consist of one or more enveloping forces , which attacks the enemy 's flank -LRB- s -RRB- , and a fixing force , which attacks the enemy 's front and '' '' fixes '' '' them in place so that they can not withdraw or shift their focus on the enveloping forces . ''",177.0,188.0,197.0,256.0
MedCaus," Larger and higher - velocity rain drops have greater kinetic energy , and thus their impact will displace soil particles by larger distances than smaller , slower - moving rain drops . ''",1.0,61.0,75.0,177.0
MedCaus," A range of mathematical models have been developed by relaxing the assumptions made in the Lotka - Volterra model ; these variously allow animals to have geographic distributions , or to migrate ; to have differences between individuals , such as sexes and an age structure , so that only some individuals reproduce ; to live in a varying environment , such as with changing seasons ; and analysing the interactions of more than just two species at once . ''",196.0,264.0,280.0,306.0
MedCaus, Glasses affect the position by changing the person 's reaction to focusing .,1.0,63.0,67.0,75.0
MedCaus," In Christianity , for example , Jesus is referred to as the '' '' Lamb of God '' '' , thus emphasizing his sinless nature . ''",31.0,74.0,82.0,103.0
MedCaus," Instead , certain types of porous media have been developed to kill microbes on contact . ''",9.0,50.0,51.0,80.0
MedCaus," They are dependent on replication inside the host cells , thus some species are termed obligate intracellular pathogens and others are symbionts of ubiquitous protozoa .",1.0,56.0,64.0,168.0
MedCaus, The heterogametic sex -LRB- males in humans -RRB- only receives one of each sex chromosome and will therefore show recessive trait even if they have only inherited one copy of a recessive allele .,1.0,91.0,111.0,136.0
MedCaus," This not only decreases the size of the rib cage , but also pushes the abdominal organs upwards against the diaphragm which consequently bulges deeply into the thorax .",61.0,118.0,138.0,167.0
MedCaus, That is why scientists are looking at immune targeting of these proteases to protect the infected host .,1.0,8.0,13.0,103.0
MedCaus, Penile fixation permanently attaches the penis to the abdomen so that it can not be lowered for penetration .,1.0,62.0,71.0,108.0
MedCaus," Iran ` Äôs literacy programs were among the most innovative and effective anywhere in the world , so that by 1977 the number of Iranians able to read and write had climbed from just 17 percent to more than 50 percent . ''",1.0,90.0,102.0,209.0
MedCaus," At the exact midpoint between the two pKa values , the trace amount of net negative and trace of net positive ions exactly balance , so that average net charge of all forms present is zero . ''",50.0,131.0,134.0,184.0
MedCaus," There is a linear relationship between them however , so these coordinates can be made homogeneous by allowing multiples of -LRB- X , Y , Z -RRB- to represent the same point . ''",1.0,39.0,141.0,168.0
MedCaus, They can outgrow and thus outcompete corals on bare surfaces .,1.0,17.0,27.0,61.0
MedCaus," Vincennes soft - paste was whiter and freer of imperfections than any of its French rivals , which put Vincennes / S ?",16.0,84.0,114.0,103.0
MedCaus, He is now used by Sleeper as a body so it can explore the universe .,40.0,67.0,1.0,36.0
MedCaus," Affects high in motivational intensity , thus , narrow cognitive scope making people able to focus more on target information .",1.0,39.0,49.0,126.0
MedCaus," The self - injury begins with biting of the lips and tongue ; as the disease progresses , affected individuals frequently develop finger biting and head banging . ''",63.0,77.0,89.0,153.0
MedCaus," However , the orientation of these vessels in a person with situs inversus is reversed , necessitating steps so that the blood vessels join properly . ''",88.0,103.0,113.0,140.0
MedCaus, M. Da Costa ` Äôs study of 300 soldiers reported similar findings in 1871 and added that the condition often developed and persisted after a bout of fever or diarrhoea .,140.0,168.0,90.0,133.0
MedCaus," However , the errors are very different between the techniques , and combining them thus allows for correction of some of this noise . ''",64.0,79.0,85.0,127.0
MedCaus," It may be possible to reduce the size of the tumor , thus relieving symptoms and allowing time for other treatments to work . ''",1.0,45.0,54.0,119.0
MedCaus," In 2012 , she gained popularity for her song '' '' My Vag '' '' , a response to Mickey Avalon 's '' '' My Dick '' '' . ''",67.0,100.0,9.0,54.0
MedCaus," Some demosponge subclasses and orders are actually polyphyletic or should be included in other orders , so that Morrow and C ?",1.0,95.0,108.0,123.0
MedCaus, When moisture was applied to the roof the clay particles expanded to create a waterproof membrane .,6.0,38.0,39.0,98.0
MedCaus," The difference between these two types of systems can be seen when people state that they hold one value system yet in practice deviate from it , thus holding a different value system .",86.0,144.0,152.0,184.0
MedCaus," But in 938 AH , in response to growing Safavid power , Shaikh Mohamed the Elder moved permanently to Bastak as his grandfather had done .",32.0,53.0,56.0,108.0
MedCaus, The cars would allow for rapid X - ray imaging of wounded soldiers so battlefield surgeons could quickly and more accurately operate .,1.0,67.0,71.0,133.0
MedCaus," In general , oximes can be changed to the corresponding amide derivatives by treatment with various acids . ''",75.0,100.0,12.0,62.0
MedCaus," The plasma is transparent to its own radiation and to that one coming from below , therefore we say that it is optically - thin .",1.0,81.0,94.0,128.0
MedCaus," Since pH is defined as the negative logarithm of the concentration of hydronium ions , acidic solutions thus have a pH of less than 7 . ''",1.0,80.0,86.0,132.0
MedCaus," The net impact of nutritional regulation of protease activity among the thousands of species present in soil can be observed at the overall microbial community level as proteins are broken down in response to carbon , nitrogen , or sulfur limitation .",210.0,250.0,170.0,197.0
MedCaus," Interference by concurrent parasitic infection : In another hypothesis , simultaneous infection with parasites changes the immune response to BCG , making it less effective .",74.0,146.0,156.0,173.0
MedCaus," Managing MVA can be challenging , for example , women with this condition have less coronary microvascular dilation in response to nitrates than do those without MVA . ''",129.0,162.0,47.0,107.0
MedCaus," The emphasis on the raised eyebrows and the rolling up of the eyes is such , that the actual nod of the head upwards has ended up being of secondary importance . ''",1.0,70.0,78.0,149.0
MedCaus," However , it is noteworthy that some biradially symmetrical comb jellies do have distinct '' '' tentacular '' '' and '' '' pharyngeal '' '' axes and are thus anatomically equivalent to bilaterally symmetrical animals . ''",138.0,171.0,28.0,120.0
MedCaus," However , by integration by substitution , the interval can be rescaled so that it has measure unity . ''",42.0,63.0,76.0,95.0
MedCaus, A huge demonstration in the city 's George Square on 31 January ended in violence after the Riot Act was read .,89.0,110.0,1.0,82.0
MedCaus," Phototaxis is the movement of an organism in response to light : that is , the response to variation in light intensity and direction . ''",55.0,124.0,1.0,33.0
MedCaus, A new Constitution in 1864 changed Greece 's form of government from constitutional monarchy to the more democratic crowned republic .,1.0,27.0,36.0,133.0
MedCaus, A push ` Äì pull train has the end passenger car equipped with a driver 's cab so that the engine driver can remotely control the locomotive .,1.0,75.0,83.0,130.0
